,name
6184,Value Meal
6185,Cheese Dip
6186,Whole Spring Plate
6187,Custard Pie
6188,Cold Grass Jelly Drink
6189,Tofu Fries
6190,Taiwan Honey Chicken Chop
6191,Signature Frozen Yogurt
6192,Chicken Teriyaki  Handroll
6193,Yellow  Submarine
6194,Curry Chicken with Rice
6195,Traditional Kaya Toast + Peanut Thick Toast Bundle
6196,Bo Bo Cha Cha 摩摩喳喳
6197,Cheng Tng 清汤
6198,Grass Jelly With Longan Ice 仙草龙眼冰
6199,Barley with Ginkgo Nuts & Beancurd Skin 白果腐竹薏米
6200,Barley with Ginkgo Nuts & Beancurd Skin 白果腐竹薏米
6201,Cheng Tng 清汤
6202,Grass Jelly With Konjac Ice 仙草彩虹寒天冰
6203,Grass Jelly With Sea Coconut Ice 海底椰仙草冰
6204,Dong Ding Oolong Milk Tea - Medium
6205,Fragrant Taro Latte - Medium
6206,Hokkaido Chizu Milk Tea - Medium
6207,Salted Caramel Milk Tea - Medium
6208,Bubble Milk Tea - Medium
6209,Hokkaido Chizu Milk Tea - Medium
6210,T37. Fried Noodles with Beef
6211,T53. Kampong Style Fried Rice
6212,WHOPPER® Meal
6213,Taro Pie
6214,Double FISH’N CRISP™
6215,Cheesy Yumburger VM
6216,Jolly Chicken Hotdog VM
6217,"Pho Noodle Soup with Sliced Beef with Beef Ball,Tendon & Brisket 四式牛肉河粉汤"
6218,Nasi Lemak Set B
6219,Bee Hoon Mee Set A
6220,Jumbo Fishball 炸大圆  (2pcs)
6221,Satay Bee Hoon 沙爹米粉
6222,Lor Mee 卤面
6223,Lor Mee 卤面
6224,Kiara Pizza
6225,Honey Tequila Chicken Wings
6226,Spicy Chicken Quesadilla
6227,Honey Tequila Chicken Wings
6228,Spicy Chicken Quesadilla
6229,Spicy Chicken Quesadilla
6230,Honey Tequila Chicken Wings
6231,Spicy Chicken Quesadilla
6232,Honey Tequila Chicken Wings
6233,Steamed Prawn & Lobster Dumplings
6234,Jade Fried Rice
6235,Crispy Duck Pow! Pockets
6236,Numbing Pork Ribs
6237,J Dog Pizza
6238,Dr. Pepperoni Pizza
6239,12 Pcs
6240,Chocolate Chip Cookie
6241,6 Pcs
6242,Chocolate Chip Cookie
6243,J Dog Pizza
6244,Green Chicken Burrito
6245,Baja Fish Tacos (2 Tacos)
6246,Roasted Tomato Salsa (Vegan)(Gluten-Free)
6247,Chicken Quesadilla
6248,Lamb Tacos (2 Tacos)(Gluten-Free)
6249,Guacamole (Vegan)(Gluten-Free)
6250,Caesar Pulled Chicken Wrap and 2 Regular Sides
6251,Open Face Melt Chicken
6252,Quesadillas
6253,Fuego Wings
6254,Nachos
6255,PS. Truffle Shoestring Fries (1/2)
6256,Breakfast Grand Slam Bunwich
6257,Breakfast Grand Slam Bunwich
6258,Breakfast Grand Slam Bunwich
6259,Breakfast Grand Slam Bunwich
6260,Coke Zero
6261,Breakfast Grand Slam Bunwich
6262,Popcorn Chicken 盐酥鸡小
6263,Taiwanese Tempura 甜不辣
6264,Four Seasons Milk Tea
6265,Sweet Potato 甘梅地瓜
6266,Enoki Mushroom 金针菇
6267,Mango Four Season Tea
6268,Value Set Lunch - Grilled Fillet of Fish with Thai Mango Salsa
6269,S3. La La Seafood Bee Hoon & Prawn Paste Wings  啦啦海鲜百米粉 + 虾酱鸡
6270,DIY Rice Roll (Customize Rice Roll 自制饭团)
6271,Eryngii Mushroom 鸡腿菇
6272,Quail Eggs 鹌鹑蛋
6273,Prawn Seafood 虾
6274,Mango Four Seasons Tea Medium
6275,Milk Tea Medium
6276,Build Own Burrito
6277,6pcs Golden Roasted Drummets
6278,"Large (12"")"
6279,Family Meal - McSpicy® Meal x2 + Nuggets HM
6280,VALUE FOR 2
6281,9pc Chicken McNuggets®
6282,Apple Pie
6283,Turkey Bacon with Egg CROISSAN'WICH® 
6284,CHICK’N CRISP CROISSAN'WICH® Meal
6285,6 Pcs
6286,Mini Size
6287,Rice
6288,Roasted Chicken with Fragrant Rice
6289,Roasted Chicken
6290,Steamed Fragrant Rice
6291,Steamed Fragrant Rice
6292,Ultimate March Buddy Meal: 1 Nasi Lemak with Chicken Otah Meatloaf + 1 Nasi Lemak with Chicken Wing + 2 Selected drink + 1 Bergedil + 1 Fish fillet
6293,Chicken Wings
6294,Black Pepper Chicken Chop
6295,F3. Maggi Goreng Ayam
6296,Masalah Cheese Thosai
6297,Indonesian Chicken Curry & Vegetables Bento with Yellow Rice
6298,Sweet Soy Chicken & Vegetables with Nasi Goreng Bento
6299,Store-selected Half Dozen
6300,Benny Eggwich + Grass Jelly Thai Tea Soya Milk
6301,Grass Jelly Soya Milk
6302,Pearly Taro
6303,Classic Beancurd
6304,香菇肉脞面 Mushroom Minced Meat Noodles
6305,香菇肉脞面 Mushroom Minced Meat Noodles
6306,香菇肉脞面 Mushroom Minced Meat Noodles
6307,叻沙 Laksa
6308,5. Pulut Hitam 黑糯米
6309,15B. Durian Chendol 榴莲浆罗
6310,Hot
6311,15. Chendol 浆罗
6312,N09. Hor Fun
6313,P26. Tissue Prata
6314,B02. Chicken Briyani
6315,N08. Hokkien Mee
6316,P01. Plain Prata
6317,21. Fatty Bom Crunchy Chicken
6318,14. Crunchy Chicken with Rice
6319,B. Mash Potato
6320,29. Jerry's Chicken Popcorn
6321,28. Fatty Bom Popcorn
6322,31. Fatty Bom Mid Wing
6323,The Original White Beehoon(M)
6324,Box Of 3 Cupcakes (Reg)
6325,Deer Meat Ginger and Onion Rice 姜葱鹿肉饭
6326,Pork Ribs Rice 排骨王饭
6327,Salted Egg Chicken With Rice 咸蛋鸡丁饭
6328,Hor Fun with Gravy 河粉
6329,Salted Caramel Milk Tea
6330,Salted Caramel Milk Tea
6331,Triple Peach Green Tea Pomelo
6332,Triple Peach Green Tea Pomelo
6333,Perfect Avocado
6334,Brown Sugar Boba Crush 黑糖碎碎冰
6335,1 For 1 Sweet and Sour Chicken Bento 素酸甜咕咾肉套餐
6336,Buddy Meal for 2 两菜套餐
6337,P02. HK Honey Char Siew Pau
6338,S04. 3 Treasures Steamed Glutinous Rice with Chicken
6339,S05. HK Street Chee Cheong Fun
6340,F03. Premium Prawn Dumpling
6341,S03. Signature Premium Siew Mai
6342,F04. HK Fried Carrot Cake
6343,F01. Superior Prawn Fried Beancurd Skin
6344,Zinger
6345,Mix and Match Dessert Bowl
6346,Mix and Match Dessert Bowl
6347,Hazelnut Chocolate Smoothie
6348,Hazelnut Milk Tea
6349,Ultimate Spicy Truffle Mayo Angus Beef Meal
6350,Ultimate Spicy Truffle Mayo Angus Beef Meal
6351,3 Cups Bundle
6352,Roast Chix Porridge
6353,Curry Chicken Potato (Boneless) With Rice
6354,Curry Chicken Potato (Boneless) With Rice
6355,U Mian Soup 幼面汤
6356,Spinach Minced Meat Sliced Fish Soup 苋菜肉碎鱼片汤
6357,Sliced Fish Soup 鱼片汤
6358,Nacho Cheese Fries 乳酪薯条
6359,Chicken Burger
6360,A2. Sunny Egg 荷包蛋
6361,20.Chicken Curry Omelette Rice 鸡扒咖喱蛋包饭 
6362,12.Ebi Fried + Teriyaki Chicken Bento 炸虾+照烧鸡扒饭盒 
6363,35.Hotplate Saba Fish Set Meal 铁板沙巴鱼套餐 
6364,Original Souffle Pancake
6365,Signature Milk Tea
6366,(01-40) Tom Yum Seafood Soup Thick/Clear
6367,Kaya Butter Buns
6368,SN1. Signature Beef Boat Noodle
6369,Kaya Butter Buns
6370,SN1. Signature Beef Boat Noodle
6371,Kaya Butter Buns
6372,SN1. Signature Beef Boat Noodle
6373,SN1. Signature Beef Boat Noodle
6374,Kaya Butter Buns
6375,SN1. Signature Beef Boat Noodle
6376,Kaya Butter Buns
6377,SN5. Thai Style Chicken Yellow Noodle
6378,Kaya Butter Buns
6379,Kaya Butter Muffin
6380,SN1. Signature Beef Boat Noodle
6381,Fried Chicken Set Meal With Any 1 Vegetable
6382,38.Hotplate Beef 铁板牛肉  
6383,Egg Spicy Flame
6384,Mutton Dum Biryani
6385,Dates Milkshake
6386,Chapati
6387,Fried Mutton Pepper
6388,12 pcs
6389,Iced Lemon Tea
6390,1 Person Value Meal (1 Pax)
6391,Potato Fries
6392,Taro Pie
6393,Taro Pie
6394,Miss-O Salmon Time 
6395,Soup with Toast
6396,"2 Pax Signature Mix (8pcs BCB, 5pcs W/D) (Combo)"
6397,Stir-Fried Garlic Dou Miao (150gm)
6398,Stir-Fried Garlic Spinach （200Gm)
6399,Caramel Milk Tea Large
6400,Yakult Green Tea Large
6401,Green Milk Tea Large
6402,Green Milk Tea Large
6403,Speculoos Cheesecake (Slice)
6404,Angus BLT Meal
6405,Original Angus Cheeseburger Meal
6406,Apple Pie
6407,Cupcakes Box Of 6 (Mini)
6408,Steamed Rice
6409,Lotus Root Soup With Pork Rib & Peanut
6410,Steamed Rice
6411,Lotus Root Soup With Pork Rib & Peanut
6412,2pc Chix Combo
6413,Chicken And Mushroom Spaghetti
6414,Kimchi Jjigae
6415,Kimchi Jjigae
6416,Assorted Platter
6417,Mala Xiang Guo 麻辣香锅
6418,Coke 可乐
6419,Black Chicken Herbal Soup
6420,Mild Spicy 小辣
6421,1 For 1 Mix Combo
6422,Large Super Deal Combo
6423,McGriddles Feast
6424,Fried Mantou 炸馒头 (5 Pieces)
6425,Custard Puff
6426,Butter Cake
6427,Banana Cake
6428,Kueh Bahulu
6429,Mee Rebus Value Meal
6430,Zero Chicken Burger Bundle
6431,Pork Rib Set Meal
6432,Rice
6433,All Salmon Mini Platter
6434,Refreshing Mango Salmon Roll
6435,Season Sushi Platter (38 Pcs)
6436,Season Sushi Platter (38 Pcs)
6437,Box Of 3 Cupcakes (Reg)
6438,Box Of 6 Cupcakes (Reg)
6439,Thai Omelette Minced Chicken (Family Portion)
6440,Glass Noodles Salad with Seafood
6441,Jasmine Rice (Family Portion)
6442,Thai Basil Chicken with Rice
6443,Garlic Pork  with Rice
6444,Beancurd in Thai Sweet Chili
6445,Curry Chicken with Rice
6446,Sambal Kangkong
6447,Ayam Merah with Rice
6448,Fried Potato
6449,Ayam Penyet with Rice
6450,Rice
6451,Mee Siam
6452,Curry Chicken with Rice
6453,Traditional Kaya Toast
6454,Pork Set
6455,Fish Cake Set
6456,Sambal Chilli 2oz 
6457,Steam Chix Thigh Rice
6458,Curry Chicken Potato (Boneless) With Rice
6459,F3. Unagi Don
6460,E2. Salmon Ikura Don
6461,Pear & Apple Pork Ribs Soup 雪梨苹果排汤
6462,Watercress with Pork Ribs Soup 西洋菜排汤
6463,Ginseng with Black Chicken Soup 参鸡汤
6464,White Rice 饭
6465,Olive Rice 橄榄反
6466,Sliced Fish Soup + Soup Noodle 鱼片汤面汤
6467,Combo A - Chicken & Pork Rib
6468,Latte - Hot
6469,Combo C Seafood Chicken
6470,Mocha - Iced
6471,Signature Grilled Chicken Chop
6472,Latte - Iced
6473,Combo C Seafood Chicken
6474,Ocean Haddock Fish Baked
6475,Combo E Crispy Chicken & Crispy Fish
6476,Combo A - Chicken & Pork Rib
6477,Combo D Assorted Grill
6478,Cappuccino - Iced
6479,Combo C Seafood Chicken
6480,Mocha - Hot
6481,Chocolate
6482,Signature Roasted BBQ Pork Ribs
6483,2 x Prosperity Beef Meals (L Twister Fries™)
6484,Original Recipe Chicken
6485,2 pcs Chicken Meal
6486,M11. Beef & Chicken Mixed Grill
6487,Beef Taco
6488,Sliced Fish
6489,White Rice
6490,Steamed Chicken Dumplings
6491,Sliced Fish
6492,Tomyam Ramen
6493,QQ Ramen
6494,Steamed Chicken Dumplings
6495,Roasted Brown Bobo Milk Tea 
6496,Roasted Brown Bobo Milk Tea 
6497,B2. Breaded Seafood Combo
6498,A3. Cheesy Chicken Chop
6499,B2. Breaded Seafood Combo
6500,C1. NZ Prime Sirloin
6501,B2. Breaded Seafood Combo
6502,B20 北菇鸡球粥 Sliced Chicken and Mushroom Congee
6503,B3 凤凰水饺汤 Prawn Dumpling Soup (5pc)
6504,半Half
6505,水饺汤 Dumpling Soup
6506,水饺汤 Dumpling Soup
6507,半Half
6508,半Half
6509,2 Pax
6510,水饺汤 Dumpling Soup
6511,半Half
6512,水饺汤 Dumpling Soup
6513,水饺汤 Dumpling Soup
6514,半Half
6515,Fried Beef with Oyster Sauce
6516,BBQ Stingray
6517,Regular
6518,Thai Fried Basil Meat
6519,Thai Style Deep-fried Tofu
6520,Sambal Grilled Fish
6521,Striploin Steak
6522,Striploin Steak
6523,Singapore Special Fish & Chips (Salted Egg And Chilli Crab)
6524,Sambal Grilled Fish
6525,Mini Steamboat Sliced Fish Soup
6526,Mini Steamboat Fried Fish Soup
6527,C3. New Zealand Prime Black Pepper Sirloin with Grilled Tiger Prawn
6528,B4. Pan-Grilled Dory With Black Pepper Sauce
6529,B4. Pan-Grilled Dory With Black Pepper Sauce
6530,C3. New Zealand Prime Black Pepper Sirloin with Grilled Tiger Prawn
6531,Chilli Flakes
6532,Nasi Combo Cheese Mutton
6533,Maggi Combo Cheese Chicken
6534,Nasi Combo Cheese Mutton
6535,Maggi Combo Cheese Chicken
6536,Nasi Combo Cheese Mutton
6537,Maggi Combo Chicken
6538,Nasi Lemak with Thai Green Curry Chicken
6539,Double Cheeseburger Combo
6540,2 pcs Golden Aroma® Chicken Combo
6541,Double Cheeseburger Combo
6542,Double Cheeseburger Combo
6543,007. Tender Set
6544,Crispy White Carrot Cake
6545,Fried Oyster
6546,1.Salmon + Teriyaki Bento 三文鱼+照烧鸡扒饭盒
6547,13.Teriyaki Chicken + Seaweed Chicken Bento 照烧鸡扒+紫菜鸡饭盒
6548,12.Ebi Fried + Teriyaki Chicken Bento 炸虾+照烧鸡扒饭盒 
6549,BBQ Char Siew and Roasted Pork Rice
6550,Dong Dong Tea
6551,Classic Brown Sugar Series (COLD)
6552,Thai Red Curry With Pork
6553,Seafood
6554,Crispy Thai Wing
6555,Krapow - Minced Pork
6556,Khao Kha Moo
6557,Chicken Dum Briyani
6558,Sweet Lassi
6559,Kadhi Pakora
6560,Palak Saag
6561,Malai Tikka
6562,Garlic Naan
6563,Butter Naan
6564,Pulao Rice
6565,Jaggi's Butter Chicken
6566,Dhall Tarka
6567,Plain Rice
6568,Tea with Lemon Juice
6569,Fresh Milk with Brown Sugar Bubble
6570,Fresh Milk with Brown Sugar Bubble
6571,Tea with Honey
6572,Tea with Mango
6573,Tea with Mango
6574,Fresh Milk With Taro + Taro Bubble
6575,Fresh Milk with Brown Sugar Bubble
6576,Tea with Honey
6577,Sup Buntut (Oxtail Soup)
6578,Gado-Gado
6579,Frutti Di Mare
6580,Medium Fried Hokkien Mee
6581,Aburi Buta & Unagi Combo Jyu
6582,Wagyu Karubi Don
6583,Premium Buta Don
6584,Rice
6585,Prawn and Hire Set
6586,Hire Katsu Set
6587,Hire Curry
6588,Insalata Di Tonno
6589,Filetto Alla Griglia
6590,Branzino Alla Mediterranea
6591,Romana
6592,Zuppa Di Pesce
6593,Braciola Di Maiale Arrosto
6594,Broccoli Saltati in Padella
6595,Parmigiana Di Melanzane
6596,Broccoli Saltati in Padella
6597,Carnivora
6598,Lasagna
6599,Broccoli Saltati in Padella
6600,Carpaccio Di Manzo Con Scalgie Di Grana E Rucola
6601,Caprese Con Mozzarella Bufala
6602,In Piazza
6603,Filetto Alla Griglia
6604,Broccoli Saltati in Padella
6605,Broccoli Saltati in Padella
6606,Braciola Di Maiale Arrosto
6607,Broccoli Saltati in Padella
6608,Braciola Di Maiale Arrosto
6609,Parma
6610,Filetto Alla Griglia
6611,Braciola Di Maiale Arrosto
6612,Filetto Alla Griglia
6613,Broccoli Saltati in Padella
6614,Pappardelle Della Piazza
6615,Mixed Slider Box Of 4 + 2
6616,Green Goddess Pesto Penne
6617,PS. Truffle Shoestring Fries (V)
6618,PS. Spaghettini Bolognese
6619,Mixed Slider Box Of 4 + 2
6620,PS. Truffle Shoestring Fries (V)
6621,Sticky BBQ Ribs
6622,Mixed Slider Box Of 4 + 2
6623,Sticky BBQ Ribs
6624,Stir-fried Green Dragon Vegetable 清炒青龙菜
6625,Sliced Fish Soup 鱼片汤
6626,Stir-fried Green Dragon Vegetable 清炒青龙菜
6627,Anchovy
6628,Sulrung Tang
6629,Grilled Saba Fish Set
6630,BBQ Beef Set
6631,Bulgogi Hotpot
6632,Grilled Saba Fish Set
6633,Dduk Guk
6634,BBQ Chicken Set
6635,Sulrung Tang
6636,Anchovy
6637,Ramen
6638,BBQ Beef Set
6639,9F. Sambal Petai Prawn Fried Rice 叁芭臭豆虾炒饭
6640,9D. Salted Fish & Century Egg Fried Rice 咸鱼皮蛋炒饭
6641,10B. Seafood Hor Fun 海鲜河粉
6642,13. Fresh Prawn Fried Rice 虾仁炒饭
6643,25. Fried Beef Hor Fun 干炒牛肉河粉
6644,Rice 米饭
6645,25. Fried Beef Hor Fun 干炒牛肉河粉
6646,Fried Egg 煎蛋
6647,18. Mee Goreng 马来炒面
6648,10B. Seafood Hor Fun 海鲜河粉
6649,13. Fresh Prawn Fried Rice 虾仁炒饭
6650,10B. Seafood Hor Fun 海鲜河粉
6651,9F. Sambal Petai Prawn Fried Rice 叁芭臭豆虾炒饭
6652,6. Pork Rib Rice 排骨王饭
6653,33. Chicken Chop Fried Rice 鸡扒炒饭
6654,9F. Sambal Petai Prawn Fried Rice 叁芭臭豆虾炒饭
6655,13. Fresh Prawn Fried Rice 虾仁炒饭
6656,1. Thai Style Chicken Chop Rice 泰式鸡扒饭
6657,10B. Seafood Hor Fun 海鲜河粉
6658,6. Pork Rib Rice 排骨王饭
6659,Calpis Lychee Jing Syuan Collagen+
6660,Li Blue 小蓝
6661,Mango Sago Oat Latte
6662,Triple Peach Jing Syuan Collagen+
6663,Medium Size 中杯
6664,Medium Size 中杯
6665,Handmade Meatballs Soup
6666,Lemongrass Soda 新鲜的柠檬草汽水
6667,Pebbles 炸番薯蛋
6668,Giant Fried Wonton
6669,My Simple Noodle
6670,Sago Pudding 西米黑糖布丁
6671,Wafu Seaweed Choregi Salad
6672,Buddy Meal for 2 (U.P. $60)
6673,Goma Q
6674,Buddy Meal for 2 (U.P. $60)
6675,Buddy Meal for 2 (U.P. $60)
6676,IPPUDO Chicken Wings 4pcs
6677,Goma Q
6678,Hakata Nikusoba Ramen
6679,Buddy Meal for 2 (U.P. $60)
6680,Wafu Seaweed Choregi Salad
6681,Hakata Nikusoba Ramen
6682,Goma Q
6683,Buddy Meal for 2 (U.P. $60)
6684,Buddy Meal for 2 (U.P. $60)
6685,Goma Q
6686,Buddy Meal for 2 (U.P. $60)
6687,Goma Q
6688,Buddy Meal for 2 (U.P. $60)
6689,Goma Q
6690,Hakata Nikusoba Ramen
6691,Buddy Meal for 2 (U.P. $60)
6692,IPPUDO Chicken Wings 4pcs
6693,Goma Q
6694,Buddy Meal for 2 (U.P. $60)
6695,Buddy Meal for 2 (U.P. $60)
6696,Spicy Black Ramen
6697,Buddy Meal for 2 (U.P. $60)
6698,Buddy Meal for 2 (U.P. $60)
6699,Goma Q
6700,Hakata Nikusoba Ramen
6701,Goma Q
6702,Buddy Meal for 2 (U.P. $60)
6703,Japanese Shio Pudding
6704,Large
6705,Whole Piece Chicken Cutlet
6706,Minced Pork Noodle In Bean Sauce
6707,Fried Wonton
6708,Pan Fried Beancurd Skin
6709,Peanut & Sesame Sauce
6710,Fresh Ramen With Seasoned Prawns
6711,Egg Fried Rice With Seasoned Prawns
6712,XO Sauce Bee Tai Mak MAX
6713,XO Sauce Bee Tai Mak With Seasoned Prawns
6714,Egg Fried Rice With Seasoned Prawns
6715,Fresh Ramen
6716,Fresh Ramen With Seasoned Prawns
6717,Shanghai Fried Rice With Seasoned Prawns
6718,Egg Fried Rice With Seasoned Prawns
6719,Egg Fried Rice With Braised Beef
6720,Shanghai Fried Rice
6721,Egg Fried Rice With Seasoned Prawns
6722,Fresh Ramen With Seasoned Prawns
6723,Fresh Ramen With Braised Beef
6724,Egg Fried Rice With Seasoned Prawns
6725,Fresh Ramen With Seasoned Prawns
6726,Shanghai Fried Rice With Braised Beef
6727,PS. Truffle Shoestring Fries (V)
6728,PS. Caesar Salad
6729,Superfood (V)
6730,PS. Truffle Shoestring Fries (1/2)
6731,Tiger Beer-battered Fish and Chips
6732,Fried Fish Soup 香炸鱼片汤
6733,Fried Fish Soup 香炸鱼片汤
6734,Fried Fish Soup 香炸鱼片汤
6735,Fried Fish Soup 香炸鱼片汤
6736,Braised Duck Rice Set 卤鸭饭套餐
6737,Braised Duck Rice 卤鸭饭
6738,Duck Meat
6739,Braised Duck Rice Set 卤鸭饭套餐
6740,3. Chee Cheong Fun with Spicy Sauce (2 Pcs) 麻辣酱猪肠粉 (2 条)
6741,1. Black Glutinous Rice 黑糯米
6742,3. Bean Curd Skin Dessert 腐竹糖水
6743,1. Koo Kee Set Meal 高记招牌套餐
6744,Ayam Sambal Balado
6745,Fried Riceチャーハン
6746,Crispy Pork Kai-lan Rice
6747,Thai Omelette Rice
6748,Thai boat noodle 
6749,Fried Basil Leave Rice
6750,Tom Yam Soup
6751,Olive Fried Rice
6752,Thai Fried Rice
6753,Thai Chicken Wing (3 Pieces)
6754,Peanut Folded Vegetarian Pancakes Set 素褶曲花生面煎糕 套餐
6755,Penang Fried Kway Teow Large 槟城炒粿条大
6756,3. Nine Fresh Signature 九鲜招牌
6757,17. Taro Cup  芋头红豆莲子冻
6758,10. Mixed Bean Cup 花生豆豆双Q 冻
6759,17. Taro Cup  芋头红豆莲子冻
6760,3. Nine Fresh Signature 九鲜招牌
6761,10. Mixed Bean Cup 花生豆豆双Q 冻
6762,10. Mixed Bean Cup 花生豆豆双Q 冻
6763,17. Taro Cup  芋头红豆莲子冻
6764,3. Nine Fresh Signature 九鲜招牌
6765,Burg's Bacon Cheese Burger
6766,Burg's Classic Cheese Burger
6767,Chashumen
6768,Chashu Donburi
6769,Chashumen
6770,Ebi Avocado Ebikko Maki
6771,Tako Wasabi
6772,Mekajiki Sashimi
6773,Nama Hotate Sashimi
6774,Salmon Sashimi
6775,Ootoro Sashimi
6776,Mini California Maki
6777,M2. Shobu
6778,Hanasaki Ika Sushi
6779,2x Value Meal: Breakfast Deluxe + SME EVM
6780,Mild Spicy 小辣
6781,Pork Floss Egg 肉鬆煉乳蛋
6782,Sweet Potato BōRU D.I.Y. Mega Combo - Sushi
6783,Kids' Menu - Fish Fingers	 	 	 	 	 	 	 	
6784,Jack's Classic Beef Bolognese
6785,9.3 Chicken Nuggets
6786,8.0 Crispy Fish Fillet with Alio Pasta
6787,Nutella Shake (Iced)
6788,McGriddles Stack Upsized Meal
6789,KITKAT® McFlurry®
6790,Original Chicken Meal Deal (U.P. $18.63)
6791,Kuey Teow Goreng Ayam
6792,EG1. Fried One Egg 荷包蛋
6793,SN2. Boiled Pork Dumpling with Leek 韭菜豬肉水餃
6794,Stir-fried Slice Beef Hor Fun 干炒牛河
6795,DK5. Iced Milo 美祿冰
6796,EG1. Fried One Egg 荷包蛋
6797,SN2. Boiled Pork Dumpling with Leek 韭菜豬肉水餃
6798,Rice With Salted Egg Chicken 咸蛋鸡丁饭
6799,DK5. Iced Milo 美祿冰
6800,EG1. Fried One Egg 荷包蛋
6801,DK5. Iced Milo 美祿冰
6802,SN2. Boiled Pork Dumpling with Leek 韭菜豬肉水餃
6803,Stir-fried Slice Beef Hor Fun 干炒牛河
6804,EG1. Fried One Egg 荷包蛋
6805,Stir-fried Slice Beef Hor Fun 干炒牛河
6806,DK5. Iced Milo 美祿冰
6807,SN2. Boiled Pork Dumpling with Leek 韭菜豬肉水餃
6808,SN2. Boiled Pork Dumpling with Leek 韭菜豬肉水餃
6809,Stir-fried Slice Beef Hor Fun 干炒牛河
6810,DK5. Iced Milo 美祿冰
6811,SN2. Boiled Pork Dumpling with Leek 韭菜豬肉水餃
6812,EG1. Fried One Egg 荷包蛋
6813,Cereal Diced Chicken With Rice 麦片鸡丁饭
6814,#73.PHAD THAI (ผัดไทย)
6815,#140.BBQ WHOLE CHICKEN (ไก่ย่าง)
6816,Iced
6817,Maggi Goreng Thai Ayam
6818,.The Original White Beehoon(S)
6819,Big Pau Pork
6820,Laksa
6821,Siew Mai 2 Pcs
6822,M5. Lanzhou Fried La Mian
6823,Chocolate Pie
6824,Prosperity Beef Burger®
6825,Bento B
6826,Bento A
6827,Bento A
6828,Fried Mee Goreng + Fried Bee Hoon + Ham & Cheese Sandwich
6829,Curry Chicken with Rice + Laksa + Ham and Cheese Sandwich
6830,Curry Chicken with Rice + Fried Bee Hoon + Ham and Cheese Sandwich
6831,Murukku
6832,2 Pcs
6833,Little San Sushi
6834,KITKAT® McFlurry®
6835,Prosperity Beef Special
6836,Nasi Sambal Goreng Daging
6837,Lontong
6838,Soto Ayam
6839,Plain Briyani
6840,Briyani Ayam Goreng
6841,Nasi Sambal Goreng Daging
6842,Lontong
6843,Buddy Meal A: 2 X Nasi Lemak + Bergedil + 2 Drinks (U.P 25)
6844,Nasi Lemak Royale + 1 Selected Drink
6845,Crayfish Pasta
6846,Pho Noodle Soup with Chicken Meatballs 鸡肉圆河粉汤
6847,Pho Spicy Noodle Soup
6848,Summer Rolls & Fried Spring Roll
6849,Iced Honey Lemon
6850,Iced Milk Tea
6851,"7"""
6852,"7"""
6853,Cheese Stick 1pcs 芝士棒
6854,Red Bean（4）红豆面包 4粒
6855,Spicy Chicken Floss 1pcs 辣鸡丝
6856,Cheese Bun 1pcs 芝士面包
6857,Teriyaki Chicken & Karaage Rice Box
6858,Potato Croquette
6859,Dessert Jelly Bowl - Longan Red Dates
6860,Any 2 pouches for $4.60
6861,Any 2 pouches for $4.60
6862,Any 2 pouches for $4.60
6863,Little San Sushi
6864,Tempura Kani Sticks
6865,Chicken Fried Rice with Egg
6866,Stir-fried Hor Fun
6867,Beef Bee Hoon
6868,112. Curry Chicken with Rice
6869,85. Macau Chicken Chop Fried Rice
6870,Kway Teow Goreng with Petai & Prawns 虾仁臭豆炒河粉
6871,Cheese Pide
6872,Chicken Turkish Pide
6873,Nasi Jenganan
6874,N01. Nasi Goreng
6875,T10. Masala Thosai
6876,N41. Bee Hoon Goreng
6877,P15. Egg Prata
6878,T10. Masala Thosai
6879,P13. Plain Prata
6880,Laksa With Golden Roll
6881,Sotong Ball OnStik
6882,Crab Nugget OnStik
6883,Dry Mee Siam With Prawns
6884,(Hot) Classic Beancurd 经典豆花
6885,Grass Jelly Juice 仙草汁
6886,(Hot) Beancurd With Gula Malacca 椰糖豆花
6887,(Hot) Beancurd With Gula Malacca 椰糖豆花
6888,(Hot) Classic Beancurd 经典豆花
6889,Pandan Swiss Roll
6890,Curry Potato Puff
6891,Chocolate Swiss Roll
6892,Chicken Sausage Puff
6893,Fishball Noodles 鱼丸面
6894,Tau Pok
6895,Pork Tenderloin Soup
6896,Kai Lan Vegetables
6897,Rice
6898,Chocolate Pie
6899,For 1 Pax (White) (Exclude Rice)
6900,(01-57) Fried Carrot Cake black
6901,Crazy Chicken Crunchies (Original)
6902,Hand-Breaded Chicken Tenders
6903,Potato Gratin
6904,Tuna D'Licious
6905,Nuggets (6 pcs)
6906,A6. Crispy Squid Rings 酥炸花枝
6907,A1. Signature Crispy Chicken Cutlet 招牌卡啦炸鸡排
6908,A4. Crispy Chicken Cube 美味盐酥鸡
6909,Caramel Ice Blended®
6910,Chicken Cutlet Rice
6911,Carbonara Spaghetti
6912,German Grilled Fish
6913,German Grilled Fish
6914,Chicken Chop
6915,German Grilled Fish
6916,Carbonara Spaghetti
6917,Carbonara Spaghetti
6918,French Toast with Grilled Salmon
6919,Chicken Sausage Single Toast
6920,Single Bundle Plus For 1 - 2
6921,Single Bundle Plus For 1 - 2
6922,Nasi Goreng Merah
6923,Kuey Teow Goreng
6924,Medium (10-11 Items)
6925,Beef Goulash Take-home Soup Pack
6926,Jjajang Myeon
